id,name,buildingType,specificBuildingType,description,closedDays,openHour,closeHour,notes
554,"The Tyratear Carder","ARTISAN","carder","Good quality carder of fibres","[6,7]",9,17,""
555,"The Classic Butcher","ARTISAN","butcher","Average quality butcher","[6,7]",9,17,""
556,"The Timeless Scabbard Furrier","ARTISAN","furrier","Average quality furrier","[6,7]",9,17,""
557,"The Sumptuous Herbalist","ARTISAN","herbalist","Average quality herbalist","[6,7]",9,17,""
558,"The Sword and the Crow","TAVERN","quiet bar","Quiet, low-key bar","[]",11,1,""
559,"The Heifer and Wind","TAVERN","quiet bar","Quiet, low-key bar","[]",11,1,""
560,"The Chalice and the Tinker","TAVERN","raucous dive","Raucous dive","[]",11,1,""
561,"The Engorged Minotaur Log Shop","SHOP","log shop","Log shop","[6,7]",9,17,""
562,"The Honored Flats","RESIDENCE","house share","Shared home",,,,""
563,"Barracks","LAW_ENFORCEMENT","barracks","Barracks for the town guard",,,,""
564,"Barracks","LAW_ENFORCEMENT","barracks","Barracks for the town guard",,,,""
565,"Barracks","LAW_ENFORCEMENT","barracks","Barracks for the town guard",,,,""
566,"Barracks","LAW_ENFORCEMENT","barracks","Barracks for the town guard",,,,""
567,"The Rhadazys Residence","RESIDENCE","middle class home","Middle-class home",,,,""
568,"The Hirrean Residence","RESIDENCE","middle class home","Middle-class home",,,,""
569,"The Dustfall Residence","RESIDENCE","middle class home","Middle-class home",,,,""
570,"The Ashrodu Residence","RESIDENCE","middle class home","Middle-class home",,,,""
571,"The Roughnail Residence","RESIDENCE","middle class home","Middle-class home",,,,""
572,"The Siltshovel Residence","RESIDENCE","lower class home","Lower-class home",,,,""
573,"The Teasentylar Residence","RESIDENCE","middle class home","Middle-class home",,,,""
574,"The Boldgem Residence","RESIDENCE","lower class home","Lower-class home",,,,""
575,"The Sturdy Builder","ARTISAN","builder","Builder","[6,7]",9,17,""
576,"The Agatestrike Residence","RESIDENCE","middle class home","Middle-class home",,,,""
577,"Residence","RESIDENCE","middle class home","Middle-class home",,,,""
578,"The Oathaxe Residence","RESIDENCE","lower class home","Lower-class home",,,,""
579,"The Spinelaxe Residence","RESIDENCE","middle class home","Middle-class home",,,,""
580,"The Tchazarassa-Skhiawryn Residence","RESIDENCE","lower class home","Lower-class home",,,,""
581,"The Rubychurn Residence","RESIDENCE","middle class home","Middle-class home",,,,""
582,"The Greenman Residence","RESIDENCE","lower class home","Lower-class home",,,,""
583,"The Rubyprayer Residence","RESIDENCE","middle class home","Middle-class home",,,,""
584,"The Longpen Residence","RESIDENCE","lower class home","Lower-class home",,,,""
585,"Residence","RESIDENCE","middle class home","Middle-class home",,,,""
586,"The Jassolind Residence","RESIDENCE","upper class home","Upper-class home",,,,""
587,"The Baequiaear Residence","RESIDENCE","middle class home","Middle-class home",,,,""
588,"The Chalkvault Residence","RESIDENCE","middle class home","Middle-class home",,,,""
589,"The Orleaear Residence","RESIDENCE","middle class home","Middle-class home",,,,""
590,"The Praarin Residence","RESIDENCE","lower class home","Lower-class home",,,,""
591,"The Eytheritryn Residence","RESIDENCE","middle class home","Middle-class home",,,,""
592,"The Undertunnel Residence","RESIDENCE","middle class home","Middle-class home",,,,""
593,"The Porphyroyax Residence","RESIDENCE","middle class home","Middle-class home",,,,""
594,"Residence","RESIDENCE","middle class home","Middle-class home",,,,""
595,"The Flickerboot Residence","RESIDENCE","middle class home","Middle-class home",,,,""
596,"The Whistlepatch Residence","RESIDENCE","lower class home","Lower-class home",,,,""
597,"The Kennyrzea Residence","RESIDENCE","middle class home","Middle-class home",,,,""
598,"The Brimadrax Residence","RESIDENCE","lower class home","Lower-class home",,,,""
599,"The Nishla Residence","RESIDENCE","lower class home","Lower-class home",,,,""
600,"The Dwinzea Residence","RESIDENCE","middle class home","Middle-class home",,,,""
601,"The Headbutton Residence","RESIDENCE","middle class home","Middle-class home",,,,""
602,"The Killearnith Residence","RESIDENCE","middle class home","Middle-class home",,,,""
603,"The Norrevalsa Residence","RESIDENCE","middle class home","Middle-class home",,,,""
604,"The Tanry Residence","RESIDENCE","lower class home","Lower-class home",,,,""
605,"The Diggerner Residence","RESIDENCE","lower class home","Lower-class home",,,,""
606,"Residence","RESIDENCE","middle class home","Middle-class home",,,,""
607,"The Bararin Residence","RESIDENCE","middle class home","Middle-class home",,,,""
608,"The Oakhair Residence","RESIDENCE","middle class home","Middle-class home",,,,""
609,"The Ruusul Residence","RESIDENCE","middle class home","Middle-class home",,,,""
610,"The Gysseathem Residence","RESIDENCE","middle class home","Middle-class home",,,,""
611,"The Norreaear Residence","RESIDENCE","middle class home","Middle-class home",,,,""
612,"Residence","RESIDENCE","middle class home","Middle-class home",,,,""
613,"The Orledlues Residence","RESIDENCE","middle class home","Middle-class home",,,,""
614,"The Longstamp Residence","RESIDENCE","middle class home","Middle-class home",,,,""
615,"The Dryearsithek Residence","RESIDENCE","middle class home","Middle-class home",,,,""
616,"The Bellyblock Residence","RESIDENCE","middle class home","Middle-class home",,,,""
617,"The Gravelstone Residence","RESIDENCE","middle class home","Middle-class home",,,,""
618,"The Radiant Chandler","ARTISAN","chandler","Chandler","[6,7]",9,17,""
619,"Residence","RESIDENCE","middle class home","Middle-class home",,,,""
620,"The Majestic Fiddler","ARTISAN","fiddler","Average fiddler","[6,7]",9,17,""
621,"The Dwinelrvis Builder","ARTISAN","builder","Builder","[6,7]",9,17,""
622,"The Marrith Residence","RESIDENCE","lower class home","Lower-class home",,,,""
623,"The Bhakririel Residence","RESIDENCE","lower class home","Lower-class home",,,,""
624,"Residence","RESIDENCE","middle class home","Middle-class home",,,,""
625,"The Archorin Residence","RESIDENCE","middle class home","Middle-class home",,,,""
626,"The Archorin Residence","RESIDENCE","middle class home","Middle-class home",,,,""
627,"The Tyrnearretyn Residence","RESIDENCE","middle class home","Middle-class home",,,,""
628,"The Kralkarin Residence","RESIDENCE","lower class home","Lower-class home",,,,""
629,"The Keruxaassa Residence","RESIDENCE","lower class home","Lower-class home",,,,""
630,"Distinguished Painting","ARTISAN","house painter","House painter","[6,7]",9,17,""
631,"Residence","RESIDENCE","middle class home","Middle-class home",,,,""
632,"The Westra Residence","RESIDENCE","middle class home","Middle-class home",,,,""
633,"The Dorebrother Residence","RESIDENCE","middle class home","Middle-class home",,,,""
634,"The Bronzepick Residence","RESIDENCE","middle class home","Middle-class home",,,,""
635,"The Hornhair Residence","RESIDENCE","lower class home","Lower-class home",,,,""
636,"Residence","RESIDENCE","middle class home","Middle-class home",,,,""
637,"The Misrach Residence","RESIDENCE","upper class home","Upper-class home",,,,""
638,"The Phrixuroth Residence","RESIDENCE","lower class home","Lower-class home",,,,""
639,"The Peaceful Plasterer","ARTISAN","plasterer","Plasterer","[6,7]",9,17,""
640,"Residence","RESIDENCE","upper class home","Upper-class home",,,,""
641,"Zerulrith's Locksmith","ARTISAN","locksmith","Locksmith","[6,7]",9,17,""
642,"The Baequiettln Residence","RESIDENCE","middle class home","Middle-class home",,,,""
643,"The Radiant Game Trader","SHOP","game trader","Game trader","[6,7]",9,17,""
644,"The Myrthitryn Residence","RESIDENCE","upper class home","Upper-class home",,,,""
645,"The Stoutguard Residence","RESIDENCE","upper class home","Upper-class home",,,,""
646,"The Teasenarnith Residence","RESIDENCE","upper class home","Upper-class home",,,,""
647,"Pious Oats","SHOP","grain shop","Grain shop","[6,7]",9,17,""
648,"The Malachodur Residence","RESIDENCE","upper class home","Upper-class home",,,,""
649,"The Zekundemar Residence","RESIDENCE","middle class home","Middle-class home",,,,""
650,"Residence","RESIDENCE","upper class home","Upper-class home",,,,""
651,"Flame Carding","ARTISAN","carder","Great quality carder of fibres","[6,7]",9,17,""
652,"The Mardrax Residence","RESIDENCE","middle class home","Middle-class home",,,,""
653,"The Myrthatear Residence","RESIDENCE","lower class home","Lower-class home",,,,""
654,"Mage Cotton Co.","SHOP","fiber shop","Fiber shop","[6,7]",9,17,""
655,"Butler Animals Co.","SHOP","farmers market","Farmers market","[6,7]",9,17,""
656,"The Noakespipe Residence","RESIDENCE","middle class home","Middle-class home",,,,""
657,"The Quillwander Residence","RESIDENCE","upper class home","Upper-class home",,,,""
658,"The Gray Tattoo artist","ARTISAN","tattoo artist","Average quality tattoo artist","[6,7]",9,17,""
659,"The Braceiffer Residence","RESIDENCE","upper class home","Upper-class home",,,,""
660,"Residence","RESIDENCE","lower class home","Lower-class home",,,,""
661,"Gyssetlarn's Glove Maker","ARTISAN","glove maker","Good quality glove maker","[6,7]",9,17,""
662,"Stool Odds and Ends Co.","SHOP","general store","General store","[6,7]",9,17,""
663,"Hunithaltin's Clockmaker","ARTISAN","clockmaker","Great quality clockmaker","[6,7]",9,17,""
664,"Baequiaear's Basket-maker","ARTISAN","basket maker","Good quality basket-maker","[6,7]",9,17,""
665,"The Archorith Residence","RESIDENCE","upper class home","Upper-class home",,,,""
666,"The Kennyrzea Residence","RESIDENCE","upper class home","Upper-class home",,,,""
667,"The Radiant Lion Barber","ARTISAN","barber","Master quality barber","[6,7]",9,17,""
668,"The Chrysoyax Residence","RESIDENCE","upper class home","Upper-class home",,,,""
669,"The Undertunnel Residence","RESIDENCE","upper class home","Upper-class home",,,,""
670,"The Scintillating Servant Alchemist","ARTISAN","alchemist","Good quality alchemist, selling magical potions","[6,7]",9,17,""
671,"The Sidereorin Residence","RESIDENCE","upper class home","Upper-class home",,,,""
672,"Residence","RESIDENCE","middle class home","Middle-class home",,,,""
673,"The Handsome Linen-draper","SHOP","linen draper","Linen-draper","[6,7]",9,17,""
674,"The Chroila Residence","RESIDENCE","middle class home","Middle-class home",,,,""
675,"Mare Carding Co.","ARTISAN","carder","Great quality carder of fibres","[6,7]",9,17,""
676,"The Flickerboot Residence","RESIDENCE","upper class home","Upper-class home",,,,""
677,"The Malachoassa Residence","RESIDENCE","upper class home","Upper-class home",,,,""
678,"The Green General Store","SHOP","general store","General store","[6,7]",9,17,""
679,"The Dryearelrvis Residence","RESIDENCE","upper class home","Upper-class home",,,,""
680,"Worthy Stationery","ARTISAN","paper maker","Great quality papermaker","[6,7]",9,17,""
681,"The Renowned Carver","ARTISAN","carver","Great quality wood carver","[6,7]",9,17,""
682,"The Ewlon Residence","RESIDENCE","upper class home","Upper-class home",,,,""
683,"Oats Grain","SHOP","grain shop","Grain shop","[6,7]",9,17,""
684,"The Admired Herbs","SHOP","greengrocer","Fruits & vegetables shop","[6,7]",9,17,""
685,"The Fareward Residence","RESIDENCE","lower class home","Lower-class home",,,,""
686,"Granite Stone","SHOP","stone shop","Rough stone shop","[6,7]",9,17,""
687,"Sweet Firewood","SHOP","woodmonger","Woodmonger, which sells wood and firewood","[6,7]",9,17,""
688,"Residence","RESIDENCE","lower class home","Lower-class home",,,,""
689,"The Underhouse Residence","RESIDENCE","lower class home","Lower-class home",,,,""
690,"The Tanry Residence","RESIDENCE","lower class home","Lower-class home",,,,""
691,"Horseman Odds and Ends Co.","SHOP","general store","General store","[6,7]",9,17,""
692,"The Archoyax Residence","RESIDENCE","upper class home","Upper-class home",,,,""
693,"The Blissful Furrier","ARTISAN","furrier","Good quality furrier","[6,7]",9,17,""
694,"The Mastruse Residence","RESIDENCE","lower class home","Lower-class home",,,,""
695,"Norrearnith's Grain Shop","SHOP","grain shop","Grain shop","[6,7]",9,17,""
696,"The Gray Fish Shop","SHOP","fish merchant","Fish merchant","[6,7]",9,17,""
697,"The Melithettln Residence","RESIDENCE","upper class home","Upper-class home",,,,""
698,"The Glorious Candle","ARTISAN","lanternmaker","Great quality lanternmaker","[6,7]",9,17,""
699,"Vellum Writing","ARTISAN","scribe","Great quality scribe","[6,7]",9,17,""
700,"The Melithdlues Residence","RESIDENCE","upper class home","Upper-class home",,,,""
701,"Residence","RESIDENCE","upper class home","Upper-class home",,,,""
702,"The Superior Outfitter","ARTISAN","outfitter","Great quality outfitter","[6,7]",9,17,""
703,"Residence","RESIDENCE","upper class home","Upper-class home",,,,""
704,"The Zeruldrax Residence","RESIDENCE","upper class home","Upper-class home",,,,""
705,"The Melithtlarn Residence","RESIDENCE","upper class home","Upper-class home",,,,""
706,"The Tyreplith Residence","RESIDENCE","middle class home","Middle-class home",,,,""
707,"The Worthy Washboard","ARTISAN","launderer","Great quality laundry cleaner","[6,7]",9,17,""
708,"The Baraassa Residence","RESIDENCE","middle class home","Middle-class home",,,,""
709,"The Akura Butcher","ARTISAN","butcher","Average quality butcher","[6,7]",9,17,""
710,"The Thistlecloak Residence","RESIDENCE","lower class home","Lower-class home",,,,""
711,"The Scintillating Fur Trader","SHOP","fur trader","Fur trader","[6,7]",9,17,""
712,"The Dradoi Residence","RESIDENCE","middle class home","Middle-class home",,,,""
713,"Devil Cotton","SHOP","fiber shop","Fiber shop","[6,7]",9,17,""
714,"The Longsong Residence","RESIDENCE","middle class home","Middle-class home",,,,""
715,"The Regal Loom","SHOP","linen draper","Linen-draper","[6,7]",9,17,""
716,"The Harmonious Armorer Potter","ARTISAN","potter","Great quality potter","[6,7]",9,17,""
717,"The Cragsheet Residence","RESIDENCE","lower class home","Lower-class home",,,,""
718,"Baking supplies Odds and Ends","SHOP","general store","General store","[6,7]",9,17,""
719,"The Harmonious Imp Lanternmaker","ARTISAN","lanternmaker","Poor quality lanternmaker","[6,7]",9,17,""
720,"The Ousseavirrea Residence","RESIDENCE","lower class home","Lower-class home",,,,""
721,"The Alluring Bleacher","ARTISAN","bleacher","Good quality bleacher","[6,7]",9,17,""
722,"Textile dying","ARTISAN","dyer","Good quality dyer","[6,7]",9,17,""
723,"The Steelarmor Residence","RESIDENCE","middle class home","Middle-class home",,,,""
724,"The Illuminated Fiber","ARTISAN","paper maker","Average quality papermaker","[6,7]",9,17,""
725,"Tile Stone","SHOP","stone shop","Rough stone shop","[6,7]",9,17,""
726,"Residence","RESIDENCE","upper class home","Upper-class home",,,,""
727,"Page Vegetables Co.","SHOP","greengrocer","Fruits & vegetables shop","[6,7]",9,17,""
728,"The Fornoar Bookbinder","ARTISAN","scribe","Good quality scribe","[6,7]",9,17,""
729,"The Kennyrtylar Residence","RESIDENCE","upper class home","Upper-class home",,,,""
730,"The Anvilchin Residence","RESIDENCE","upper class home","Upper-class home",,,,""
731,"The Deepdon Residence","RESIDENCE","upper class home","Upper-class home",,,,""
732,"Stunning Seed","SHOP","grain shop","Grain shop","[6,7]",9,17,""
733,"Yarn Flax","SHOP","fiber shop","Fiber shop","[6,7]",9,17,""
734,"The Hayhead Residence","RESIDENCE","upper class home","Upper-class home",,,,""
735,"The Orlezea Residence","RESIDENCE","upper class home","Upper-class home",,,,""
736,"The Aguidran Residence","RESIDENCE","upper class home","Upper-class home",,,,""
737,"Residence","RESIDENCE","middle class home","Middle-class home",,,,""
738,"Residence","RESIDENCE","middle class home","Middle-class home",,,,""
739,"The Hlaevirrea Residence","RESIDENCE","lower class home","Lower-class home",,,,""
740,"The Burrowblower Residence","RESIDENCE","middle class home","Middle-class home",,,,""
741,"The Aleatlithar Residence","RESIDENCE","middle class home","Middle-class home",,,,""
742,"Residence","RESIDENCE","middle class home","Middle-class home",,,,""
743,"Gold Netters","INDUSTRIAL","fishery","Warehouse of fishery, storing fish and ships used on trips",,,,""
744,"The Strongkeep Residence","RESIDENCE","middle class home","Middle-class home",,,,""
745,"The Dryearlylth Residence","RESIDENCE","middle class home","Middle-class home",,,,""
746,"The Mathomins Residence","RESIDENCE","lower class home","Lower-class home",,,,""
747,"The Baradrax Residence","RESIDENCE","middle class home","Middle-class home",,,,""
748,"The Opulent Architect","ARTISAN","architect","Architect","[6,7]",9,17,""
749,"The Tyrneaurdrenn Residence","RESIDENCE","middle class home","Middle-class home",,,,""
750,"The Mardrax Residence","RESIDENCE","middle class home","Middle-class home",,,,""
751,"The Jazrayax Residence","RESIDENCE","middle class home","Middle-class home",,,,""
752,"The Teasentylar Residence","RESIDENCE","middle class home","Middle-class home",,,,""
753,"The Peridoriel Residence","RESIDENCE","lower class home","Lower-class home",,,,""
754,"River Catchers","INDUSTRIAL","fishery","Warehouse of fishery, storing fish and ships used on trips",,,,""
755,"Residence","RESIDENCE","middle class home","Middle-class home",,,,""
756,"The Bronzefeast Residence","RESIDENCE","middle class home","Middle-class home",,,,""
757,"The Squiggleguard Residence","RESIDENCE","middle class home","Middle-class home",,,,""
758,"The Beruila Residence","RESIDENCE","lower class home","Lower-class home",,,,""
759,"The Springspell Residence","RESIDENCE","middle class home","Middle-class home",,,,""
760,"The Whistledrop Residence","RESIDENCE","middle class home","Middle-class home",,,,""
761,"The Bafflestitch Residence","RESIDENCE","middle class home","Middle-class home",,,,""
762,"Residence","RESIDENCE","lower class home","Lower-class home",,,,""
763,"Residence","RESIDENCE","lower class home","Lower-class home",,,,""
764,"The Lavish Fishery","INDUSTRIAL","fishery","Warehouse of fishery, storing fish and ships used on trips",,,,""
765,"The Ilizio Residence","RESIDENCE","middle class home","Middle-class home",,,,""
766,"The Zoul Residence","RESIDENCE","middle class home","Middle-class home",,,,""
767,"The Palletpatch Residence","RESIDENCE","middle class home","Middle-class home",,,,""
768,"The Ragemace Residence","RESIDENCE","lower class home","Lower-class home",,,,""
769,"Malachoissa's Fishery","INDUSTRIAL","fishery","Warehouse of fishery, storing fish and ships used on trips",,,,""
770,"The Lighthill Residence","RESIDENCE","middle class home","Middle-class home",,,,""
771,"The Bradoyax Residence","RESIDENCE","upper class home","Upper-class home",,,,""
772,"The Fapplereach Residence","RESIDENCE","middle class home","Middle-class home",,,,""
773,"Residence","RESIDENCE","middle class home","Middle-class home",,,,""
774,"The Deepspell Residence","RESIDENCE","lower class home","Lower-class home",,,,""
775,"The Norretylar Residence","RESIDENCE","middle class home","Middle-class home",,,,""
776,"The Undertunnel Residence","RESIDENCE","lower class home","Lower-class home",,,,""
777,"The Undertunnel Residence","RESIDENCE","upper class home","Upper-class home",,,,""
778,"The Firca Residence","RESIDENCE","middle class home","Middle-class home",,,,""
779,"The Bronzediggles Residence","RESIDENCE","middle class home","Middle-class home",,,,""
780,"The Norrethym Residence","RESIDENCE","middle class home","Middle-class home",,,,""
781,"Residence","RESIDENCE","lower class home","Lower-class home",,,,""
782,"Residence","RESIDENCE","middle class home","Middle-class home",,,,""
783,"The Loamhome Residence","RESIDENCE","middle class home","Middle-class home",,,,""
784,"Common Furniture","ARTISAN","locksmith","Locksmith","[6,7]",9,17,""
785,"The Pyrarin Residence","RESIDENCE","lower class home","Lower-class home",,,,""
786,"The Gamgins Residence","RESIDENCE","middle class home","Middle-class home",,,,""
787,"The Bright Fishery","INDUSTRIAL","fishery","Warehouse of fishery, storing fish and ships used on trips",,,,""
788,"The Prothoon Residence","RESIDENCE","middle class home","Middle-class home",,,,""
789,"The Brickhunter Residence","RESIDENCE","middle class home","Middle-class home",,,,""
790,"The Magner Residence","RESIDENCE","lower class home","Lower-class home",,,,""
791,"The Arabivirrea Residence","RESIDENCE","lower class home","Lower-class home",,,,""
792,"The Digglener Residence","RESIDENCE","middle class home","Middle-class home",,,,""
793,"The Myrthitryn Residence","RESIDENCE","middle class home","Middle-class home",,,,""
794,"The Oromrath Residence","RESIDENCE","middle class home","Middle-class home",,,,""
795,"The Heasianea Residence","RESIDENCE","middle class home","Middle-class home",,,,""
796,"The Kralkawryn Residence","RESIDENCE","lower class home","Lower-class home",,,,""
797,"The Baryax Residence","RESIDENCE","lower class home","Lower-class home",,,,""
798,"The Gold Catchers","INDUSTRIAL","fishery","Warehouse of fishery, storing fish and ships used on trips",,,,""
799,"The Buttonpen Residence","RESIDENCE","middle class home","Middle-class home",,,,""
800,"Residence","RESIDENCE","middle class home","Middle-class home",,,,""
801,"Residence","RESIDENCE","middle class home","Middle-class home",,,,""
802,"The Moltenball Residence","RESIDENCE","lower class home","Lower-class home",,,,""
803,"The Eyllisatear Residence","RESIDENCE","lower class home","Lower-class home",,,,""
804,"The Deepcairn Residence","RESIDENCE","lower class home","Lower-class home",,,,""
805,"The Darkhelm Residence","RESIDENCE","middle class home","Middle-class home",,,,""
806,"The Norrezea Residence","RESIDENCE","middle class home","Middle-class home",,,,""
807,"The Candrak Residence","RESIDENCE","lower class home","Lower-class home",,,,""
808,"The Kralkakax Residence","RESIDENCE","lower class home","Lower-class home",,,,""
809,"The Uxavis Residence","RESIDENCE","middle class home","Middle-class home",,,,""
810,"The Underhouse Zinc Netters","INDUSTRIAL","fishery","Warehouse of fishery, storing fish and ships used on trips",,,,""
811,"The Pipebutton Residence","RESIDENCE","lower class home","Lower-class home",,,,""
812,"The Brassbonk Residence","RESIDENCE","lower class home","Lower-class home",,,,""
813,"The Rhedur Residence","RESIDENCE","middle class home","Middle-class home",,,,""
814,"Residence","RESIDENCE","middle class home","Middle-class home",,,,""
815,"Residence","RESIDENCE","middle class home","Middle-class home",,,,""
816,"The Pelletmane Residence","RESIDENCE","middle class home","Middle-class home",,,,""
817,"The Lovely Thatcher","ARTISAN","thatcher","Thatcher","[6,7]",9,17,""
818,"The Glasscrown Residence","RESIDENCE","lower class home","Lower-class home",,,,""
819,"The Strongrock Residence","RESIDENCE","middle class home","Middle-class home",,,,""
820,"The Sturdyfire Residence","RESIDENCE","middle class home","Middle-class home",,,,""
821,"The Gysseathem Residence","RESIDENCE","upper class home","Upper-class home",,,,""
822,"The Bardrax Residence","RESIDENCE","middle class home","Middle-class home",,,,""
823,"Residence","RESIDENCE","lower class home","Lower-class home",,,,""
824,"The Wodhrian Residence","RESIDENCE","middle class home","Middle-class home",,,,""
825,"The Zerulkax Residence","RESIDENCE","upper class home","Upper-class home",,,,""
826,"The Goldcheek Residence","RESIDENCE","middle class home","Middle-class home",,,,""
827,"The Dugsmoke Residence","RESIDENCE","middle class home","Middle-class home",,,,""
828,"Residence","RESIDENCE","middle class home","Middle-class home",,,,""
829,"The Drazvec Residence","RESIDENCE","middle class home","Middle-class home",,,,""
830,"The Gemstone Fishers","INDUSTRIAL","fishery","Warehouse of fishery, storing fish and ships used on trips",,,,""
831,"The Rauwryn Residence","RESIDENCE","lower class home","Lower-class home",,,,""
832,"The Pebblefield Residence","RESIDENCE","middle class home","Middle-class home",,,,""
833,"The Pebblefield Residence","RESIDENCE","middle class home","Middle-class home",,,,""
834,"The Hlaeanea Residence","RESIDENCE","middle class home","Middle-class home",,,,""
835,"Residence","RESIDENCE","middle class home","Middle-class home",,,,""
836,"The Vathan Residence","RESIDENCE","middle class home","Middle-class home",,,,""
837,"The Baequielrvis Catchers","INDUSTRIAL","fishery","Warehouse of fishery, storing fish and ships used on trips",,,,""
838,"The Baequielrvis Residence","RESIDENCE","lower class home","Lower-class home",,,,""
839,"The Granitearmor Residence","RESIDENCE","lower class home","Lower-class home",,,,""
840,"The Weedfoot Residence","RESIDENCE","lower class home","Lower-class home",,,,""
841,"The Bulgehill Residence","RESIDENCE","middle class home","Middle-class home",,,,""
842,"The Biaissa Residence","RESIDENCE","lower class home","Lower-class home",,,,""
843,"Residence","RESIDENCE","lower class home","Lower-class home",,,,""
844,"The Thistlecloak Residence","RESIDENCE","lower class home","Lower-class home",,,,""
845,"The Heasitlarn Residence","RESIDENCE","middle class home","Middle-class home",,,,""
846,"The Thistlecloak Residence","RESIDENCE","middle class home","Middle-class home",,,,""
847,"The Smokeville Residence","RESIDENCE","middle class home","Middle-class home",,,,""
848,"The Xeelafarl Residence","RESIDENCE","middle class home","Middle-class home",,,,""
849,"The Kennyrtylar Residence","RESIDENCE","middle class home","Middle-class home",,,,""
850,"The Doresister Residence","RESIDENCE","middle class home","Middle-class home",,,,""
851,"The Pewterlore Baiters","INDUSTRIAL","fishery","Warehouse of fishery, storing fish and ships used on trips",,,,""
852,"The Babblehand Residence","RESIDENCE","lower class home","Lower-class home",,,,""
853,"The Heavysoul-Cavernpick Residence","RESIDENCE","middle class home","Middle-class home",,,,""
854,"Depths Baiters","INDUSTRIAL","fishery","Warehouse of fishery, storing fish and ships used on trips",,,,""
855,"The Helioyax Residence","RESIDENCE","lower class home","Lower-class home",,,,""
856,"The Cobbletrick Residence","RESIDENCE","lower class home","Lower-class home",,,,""
857,"The Hayfin Residence","RESIDENCE","lower class home","Lower-class home",,,,""
858,"Residence","RESIDENCE","lower class home","Lower-class home",,,,""
859,"The Thavarl Residence","RESIDENCE","middle class home","Middle-class home",,,,""
860,"The Rootes-Burrowfin Residence","RESIDENCE","upper class home","Upper-class home",,,,""
861,"The Garnetream Residence","RESIDENCE","middle class home","Middle-class home",,,,""
862,"The Silver Netters","INDUSTRIAL","fishery","Warehouse of fishery, storing fish and ships used on trips",,,,""
863,"The Kennyrtylar Residence","RESIDENCE","upper class home","Upper-class home",,,,""
864,"The Eyllisurdrenn Residence","RESIDENCE","middle class home","Middle-class home",,,,""
865,"The Tunnelspear Residence","RESIDENCE","middle class home","Middle-class home",,,,""
866,"The Marroth Residence","RESIDENCE","lower class home","Lower-class home",,,,""
867,"The Dirththym Residence","RESIDENCE","lower class home","Lower-class home",,,,""
868,"The Quartznail Residence","RESIDENCE","lower class home","Lower-class home",,,,""
869,"The Chrysodur Residence","RESIDENCE","middle class home","Middle-class home",,,,""
870,"The Grishulf Residence","RESIDENCE","middle class home","Middle-class home",,,,""
871,"The Gemstone Fishery","INDUSTRIAL","fishery","Warehouse of fishery, storing fish and ships used on trips",,,,""
872,"Residence","RESIDENCE","lower class home","Lower-class home",,,,""
873,"The Brohnin Residence","RESIDENCE","middle class home","Middle-class home",,,,""
874,"Sidereoriel's Chandler","ARTISAN","chandler","Chandler","[6,7]",9,17,""
875,"Mother Bank","SERVICE","bank","A bank, with average quality services.","[6,7]",9,17,""
876,"Sword Lending","SERVICE","bank","A bank, with great quality services.","[6,7]",9,17,""
877,"The Rauzys Residence","RESIDENCE","middle class home","Middle-class home",,,,""
878,"The Teasenundlin Residence","RESIDENCE","upper class home","Upper-class home",,,,""
879,"The Freanielrvis Residence","RESIDENCE","middle class home","Middle-class home",,,,""
880,"The Bayidon Residence","RESIDENCE","middle class home","Middle-class home",,,,""
881,"Residence","RESIDENCE","middle class home","Middle-class home",,,,""
882,"The Chubbes Residence","RESIDENCE","middle class home","Middle-class home",,,,""
883,"The Opalthrow Residence","RESIDENCE","middle class home","Middle-class home",,,,""
884,"The Heasitlithar Residence","RESIDENCE","middle class home","Middle-class home",,,,""
885,"The Gray Belt Maker","ARTISAN","belt maker","Good quality buckle maker","[6,7]",9,17,""
886,"The Gardhand Residence","RESIDENCE","upper class home","Upper-class home",,,,""
887,"The Orlezea Residence","RESIDENCE","upper class home","Upper-class home",,,,""
888,"The Stoutguard Residence","RESIDENCE","upper class home","Upper-class home",,,,""
889,"The Darkbottom Residence","RESIDENCE","upper class home","Upper-class home",,,,""
890,"The Zerulroth Residence","RESIDENCE","upper class home","Upper-class home",,,,""
891,"The Comely Monkey Bathhouse","ARTISAN","bathhouse","Bathhouse","[]",11,1,""
892,"The Niziliom Residence","RESIDENCE","middle class home","Middle-class home",,,,""
893,"The Kalthen Residence","RESIDENCE","lower class home","Lower-class home",,,,""
894,"The Gleaming Bathhouse","ARTISAN","bathhouse","Bathhouse","[]",11,1,""
895,"Residence","RESIDENCE","middle class home","Middle-class home",,,,""
896,"The Pebblemantle Residence","RESIDENCE","lower class home","Lower-class home",,,,""
897,"The Newhar Residence","RESIDENCE","lower class home","Lower-class home",,,,""
898,"The Norreitryn Residence","RESIDENCE","lower class home","Lower-class home",,,,""
899,"Crossbow Baths Co.","ARTISAN","bathhouse","Bathhouse","[]",11,1,""
900,"The Killerretyn Residence","RESIDENCE","middle class home","Middle-class home",,,,""
901,"The Yhemnis Residence","RESIDENCE","lower class home","Lower-class home",,,,""
902,"The Deckhands' Depot","INDUSTRIAL","shipyard","Shipyard to build and repair ships",,,,""
903,"The Whitmathom Bathhouse","ARTISAN","bathhouse","Bathhouse","[]",11,1,""
904,"The Cambree Residence","RESIDENCE","upper class home","Upper-class home",,,,""
